Ticker,Company_Name,Sector,First_Date,Last_Date,Total_Trading_Days,Starting_Price,Ending_Price,Total_Return_%,Highest_Price,Lowest_Price,Avg_Daily_Volume,Total_Dividends_Paid,Number_of_Splits,Avg_Daily_Return_%,Volatility_%,Current_Market_Cap,Current_PE_Ratio,Current_Dividend_Yield
RELIANCE.NS,Reliance Industries Ltd.,Energy,1999-01-01,2026-01-30,6767,6.152116775512695,1395.4000244140625,22581.624477093494,1611.800048828125,5.842497372130206,36796406.898477904,60.235613,3,0.1407771785802006,4.707480768286987,18883211689984,22.674683,0.39
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financials,2017-10-03,2026-01-30,2059,695.6264038085938,1998.5,187.29501770750792,2109.60009765625,478.2253970417001,1277479.629431763,16.4,0,0.06556345508637643,1.6874312918673053,2004155367424,80.64971,0.14
SBIN.NS,State Bank of India,Financials,1999-01-01,2026-01-30,6768,10.036511421203612,1077.1500244140625,10632.315036661284,1082.5,9.039135123038571,23823491.954048462,89.94816600000001,1,0.09554953109252162,2.3057132543825647,9942760161280,11.976317,1.48
SHREECEM.NS,Shree Cement Ltd.,Cement,2001-07-02,2026-01-30,6116,27.22235870361328,26985.0,99028.07443984722,32398.188355689515,18.588852608859508,28363.15336821452,1081.5,0,0.13829714541836258,2.263458742510157,973638991872,56.497707,0.59
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,1999-01-01,2026-01-30,6770,1.7184854745864868,1595.300048828125,92731.74472056545,1942.212840285192,1.7036898541268075,3132031.357902511,89.0,5,0.12565312820983301,2.227425620516718,3827659177984,36.63146,1.01
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,1999-01-01,2026-01-30,6767,20.913862228393555,1133.9000244140625,5321.762905536555,1251.0389347936634,7.719129921489891,2477007.223880597,75.375651,1,0.08315124831050669,2.201155709562978,1122052210688,76.408356,0.75
TATASTEEL.NS,Tata Steel Ltd.,Metals,1999-01-01,2026-01-30,6770,3.164703845977783,193.1300048828125,6002.624898954551,202.9900054931641,1.8776057487770248,67107570.29704579,37.449658,2,1.0345987150416214,29.917826679746025,2408688123904,35.4367,1.86
TCS.NS,Tata Consultancy Services Ltd.,IT,2002-08-12,2026-01-30,5827,25.828407287597656,3123.89990234375,11994.822059909948,4348.038051973605,21.127900701227983,3147429.171614896,756.25,3,0.12409555625541727,3.5546007781968147,11302543032320,23.696426,2.02
TECHM.NS,Tech Mahindra Ltd.,IT,2006-08-28,2026-01-30,4793,94.02018737792967,1743.0999755859375,1753.963520173874,1776.5999755859375,35.53109925977012,2543322.3968287087,336.875,1,0.08764518818238719,2.3191127729169527,1543527858176,33.443977,2.58
TITAN.NS,Titan Company Ltd.,Consumer Durables,1999-01-01,2026-01-30,6770,3.9339241981506343,3977.39990234375,101005.1484981219,4312.10009765625,1.2104382685375867,3647869.2574593797,72.7,1,0.13932258929323083,2.740963355580532,3528133705728,85.46197,0.28
ULTRACEMCO.NS,UltraTech Cement Ltd.,Cement,2002-08-12,2026-01-30,5826,280.7363586425781,12694.0,4421.680077841814,13097.0,226.33288810151583,268675.3633710951,379.0,0,0.09621821119765342,2.214409048573208,3733783838720,48.691982,0.61
WIPRO.NS,Wipro Ltd.,IT,1999-01-01,2026-01-30,6770,5.263250827789307,236.8999938964844,4401.020408255712,341.77344006633444,3.543131530756535,14723213.151698671,35.483124000000004,7,0.13613640279233727,5.5897371197064,2481693917184,18.756927,7.18
